city,name_en_morph,name_cn_morph,climate_zone_morph,status,n_buildings_analyzed,city_typology,dominant_type,dominant_pct,elapsed_s,n_buildings,study_area_km2,d2_1_height_mean,d2_1_height_median,d2_1_height_std,d2_2_building_density,d2_3_roof_area_mean,d2_3_roof_area_median,d2_3_roof_area_total_m2,d2_4_compactness_mean,d2_4_compactness_median,d2_5_far,d3_1_roof_utilization_mean,d3_2_shading_factor_mean,d3_3_effective_area_mean_m2,d3_4_total_deployable_m2,d3_4_total_deployable_mw,d1_1_ghi_annual_kwh,d1_2_temp_annual_c,d1_3_ghi_cv_seasonal,d1_4_sunshine_hours,d4_1_lcoe_cny_kwh,d4_2_pbt_years,d4_3_npv_positive,d4_npv_cny_kwp,d4_annual_revenue_cny_kwp,mc_n_samples,mc_elapsed_s,mc_yield_mean,mc_yield_std,mc_yield_p05,mc_yield_p50,mc_yield_p95,d5_1_yield_cv,d5_2_pbt_ci95_width,d5_2_pbt_p025,d5_2_pbt_p975,d5_3_prob_pbt_le_15yr,mc_lcoe_mean,mc_lcoe_std,mc_lcoe_p05,mc_lcoe_p95,sobol_n_samples,sobol_elapsed_s,sobol_yield_S1_ghi_factor,sobol_yield_ST_ghi_factor,sobol_yield_S1_module_efficiency,sobol_yield_ST_module_efficiency,sobol_yield_S1_system_losses,sobol_yield_ST_system_losses,sobol_yield_S1_pv_cost,sobol_yield_ST_pv_cost,sobol_yield_S1_elec_price_factor,sobol_yield_ST_elec_price_factor,sobol_pbt_S1_ghi_factor,sobol_pbt_ST_ghi_factor,sobol_pbt_S1_module_efficiency,sobol_pbt_ST_module_efficiency,sobol_pbt_S1_system_losses,sobol_pbt_ST_system_losses,sobol_pbt_S1_pv_cost,sobol_pbt_ST_pv_cost,sobol_pbt_S1_elec_price_factor,sobol_pbt_ST_elec_price_factor,d5_4_interaction_ratio_yield,d5_4_interaction_ratio_pbt,d5_5_dominant_factor_yield,d5_5_dominant_S1_yield,d5_5_dominant_factor_pbt,d5_5_dominant_S1_pbt,method,specific_yield_kwh_kwp,energy_per_m2_kwh,name_en_energy,name_cn_energy,climate_zone_energy,d3_total_generation_gwh,d3_self_sufficiency_ratio,total_elapsed_s,sobol_yield_S1_annual_degradation,sobol_yield_ST_annual_degradation,sobol_pbt_S1_annual_degradation,sobol_pbt_ST_annual_degradation,city_order,score_D1_Climate,score_D2_Morphology,score_D3_Technical,score_D4_Economic,score_D5_Uncertainty,fdsi_score
harbin,Harbin,哈尔滨,severe_cold,OK,6577,mid_high_dominant,mid_high,0.989,0,6577,191.48,21.26,21.0,6.57,0.052,1513.3,891.0,9953172.0,2.423,2.078,0.374,0.658,0.998,1035.4,6809812.0,1361.96,1424.3,4.7,0.3702,3355.0,0.2209,4.9,True,4428.0,642.3,10000.0,0.2,1175.9,91.1,1029.7,1173.4,1329.0,0.0775,3.24,4.23,7.47,1.0,0.2496,0.0316,0.2027,0.3055,4096.0,0.5,0.7249,0.7277,0.2237,0.2263,0.0484,0.0491,0.0,0.0,0.0,0.0,0.3017,0.3109,0.0919,0.0952,0.0195,0.0205,0.4806,0.4917,0.0913,0.0952,0.0061,0.0282,ghi_factor,0.7249,pv_cost,0.4806,simplified,1259.4,251.9,Harbin,哈尔滨,severe_cold,1715.25,0.6948,0.7,0.0,0.0,0.0,0.0,0,0.3154263634578096,0.8048295636924792,0.6627412221924418,0.4340417009255159,0.5872347162607091,0.5649773172681742
changchun,Changchun,长春,severe_cold,OK,2936,mid_rise_dominant,mid_rise,0.854,0,2936,34.983,19.25,18.0,7.0,0.0679,809.1,684.4,2375527.0,2.303,2.148,0.435,0.645,0.983,533.4,1566126.0,313.23,1525.0,5.7,0.3669,3408.0,0.207,4.49,True,5115.0,698.8,10000.0,0.2,1259.0,97.5,1102.5,1256.4,1423.0,0.0775,2.94,3.86,6.8,1.0,0.2331,0.0295,0.1893,0.2854,4096.0,0.5,0.7249,0.7277,0.2237,0.2263,0.0484,0.0491,0.0,0.0,0.0,0.0,0.3017,0.3108,0.0919,0.0952,0.0195,0.0205,0.4808,0.4917,0.0913,0.0951,0.0061,0.0277,ghi_factor,0.7249,pv_cost,0.4808,simplified,1343.9,268.8,Changchun,长春,severe_cold,420.95,0.8369,0.7,0.0,0.0,0.0,0.0,1,0.38023550668456507,0.5036122621068545,0.6833126223370126,0.5236853386179805,0.6410134823567945,0.5701261387209176
shenyang,Shenyang,沈阳,severe_cold,OK,1708,mixed,mid_rise,0.494,0,1708,33.401,16.82,15.0,5.22,0.0632,1236.5,734.9,2112017.0,2.304,2.017,0.4,0.652,0.862,718.9,1227896.0,245.58,1523.1,9.4,0.3476,3341.0,0.2098,4.46,True,5164.0,702.8,10000.0,0.2,1257.5,88.0,1116.2,1254.7,1404.8,0.07,2.78,3.82,6.61,1.0,0.2347,0.0286,0.1919,0.2854,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.237,0.1016,0.1049,0.0217,0.0226,0.5326,0.5424,0.1011,0.1049,0.0055,0.0244,ghi_factor,0.6474,pv_cost,0.5326,simplified,1326.1,265.2,Shenyang,沈阳,severe_cold,325.66,0.8595,0.7,0.0,0.0,0.0,0.0,2,0.4078577789198073,0.6707450380322943,0.4800052589686735,0.5172348365062299,0.6476820194781067,0.5514550451974904
dalian,Dalian,大连,severe_cold,OK,5465,unknown,unknown,0.0,0,5465,328.781,16.89,18.0,9.18,0.011,660.0,448.3,3606661.0,1.787,1.605,0.087,0.645,0.792,387.7,2118580.0,423.72,1615.7,12.0,0.3222,3425.0,0.1995,4.5,True,5098.0,697.4,10000.0,0.2,1333.9,103.3,1168.1,1331.1,1507.6,0.0775,2.88,3.79,6.67,1.0,0.2222,0.0281,0.1804,0.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1394.8,279.0,Dalian,大连,severe_cold,591.0,0.9701,0.2,,,,,3,0.5007729669781159,0.6307941315334189,0.40409438122852753,0.548216782971068,0.6415590428012695,0.5472305868990813
hohhot,Hohhot,呼和浩特,severe_cold,OK,990,unknown,unknown,0.0,0,990,62.147,21.29,18.0,8.03,0.019,1192.2,779.8,1180257.0,2.08,1.966,0.174,0.652,0.85,738.9,731551.0,146.31,1685.8,7.7,0.3364,3485.0,0.1885,4.27,True,5520.0,732.1,10000.0,0.2,1391.8,88.0,1250.2,1389.3,1539.4,0.0632,2.6,3.72,6.31,1.0,0.2119,0.025,0.1743,0.2563,4096.0,0.5,0.5409,0.5429,0.3755,0.3776,0.0812,0.0819,0.0,0.0,0.0,0.0,0.1602,0.165,0.1111,0.1145,0.0237,0.0247,0.5832,0.5919,0.1107,0.1144,0.0048,0.0212,ghi_factor,0.5409,pv_cost,0.5832,simplified,1476.1,295.2,Hohhot,呼和浩特,severe_cold,215.97,0.8058,0.7,0.0,0.0,0.0,0.0,4,0.5213115053082225,0.795016010104745,0.5399635933172517,0.6094196023865242,0.6835212281339362,0.6261325490635676
tangshan,Tangshan,唐山,severe_cold,OK,4831,unknown,unknown,0.0,0,4831,51.85,19.62,18.0,9.43,0.0718,770.2,611.1,3721005.0,2.239,2.123,0.564,0.651,0.846,450.7,2177116.0,435.42,1575.3,12.2,0.3188,3398.0,0.2048,4.52,True,5061.0,694.3,10000.0,0.2,1300.6,91.0,1154.5,1297.7,1452.9,0.07,2.79,3.84,6.63,1.0,0.2277,0.0277,0.1862,0.2768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simplified,1358.8,271.8,Tangshan,唐山,severe_cold,591.65,0.8104,0.2,,,,,5,0.4818095951160514,0.4773986105704885,0.4716274579079456,0.52809085095468,0.6554303775481278,0.54079575239606
urumqi,Urumqi,乌鲁木齐,severe_cold,OK,3113,mixed,mid_rise,0.434,0,3113,40.676,15.8,15.0,18.33,0.0668,872.5,578.8,2715977.0,1.984,1.845,0.379,0.632,0.696,413.8,1288222.0,257.64,1658.3,7.8,0.3993,3493.0,0.1917,5.45,True,3677.0,580.6,10000.0,0.2,1369.1,78.7,1242.5,1367.1,1501.1,0.0575,2.98,4.85,7.83,1.0,0.2152,0.0247,0.1781,0.2592,4096.0,0.5,0.3991,0.4006,0.4925,0.4942,0.1065,0.1072,0.0,0.0,0.0,0.0,0.1066,0.1096,0.1319,0.1355,0.0283,0.0292,0.6927,0.6994,0.0327,0.0338,0.0038,0.0151,module_efficiency,0.4925,pv_cost,0.6927,simplified,1451.5,290.3,Urumqi,乌鲁木齐,severe_cold,373.96,0.7469,0.7,0.0,0.0,0.0,0.0,6,0.41124966588250583,0.5296808597376136,0.2801817085353669,0.47686350571683567,0.8025023229550334,0.5311203350742477
beijing,Beijing,北京,cold,OK,3928,mid_rise_dominant,mid_rise,0.924,0,3928,430.915,18.47,18.0,5.94,0.0082,905.0,798.6,3554933.0,2.149,1.983,0.052,0.649,0.998,605.8,2379748.0,475.95,1578.1,12.9,0.2987,3403.0,0.2049,4.74,True,4680.0,663.1,10000.0,0.2,1302.9,91.2,1156.5,1300.0,1455.5,0.07,2.93,4.01,6.94,1.0,0.2288,0.0279,0.187,0.2782,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.2371,0.1016,0.105,0.0217,0.0226,0.5325,0.5424,0.1011,0.1049,0.0055,0.0246,ghi_factor,0.6474,pv_cost,0.5325,simplified,1357.9,271.6,Beijing,北京,cold,646.29,0.9843,0.7,0.0,0.0,0.0,0.0,7,0.5134190741585777,0.7269354809437631,0.7147420668762132,0.5050696069543708,0.6380057511841624,0.6279143895642323
tianjin,Tianjin,天津,cold,OK,2363,unknown,unknown,0.0,0,2363,51.049,18.65,18.0,9.53,0.0409,884.1,648.9,2089086.0,11.482,1.797,0.362,0.645,0.792,538.6,1272637.0,254.53,1606.1,13.5,0.2999,3443.0,0.2017,4.64,True,4837.0,676.0,10000.0,0.2,1326.0,92.8,1177.0,1323.1,1481.3,0.07,2.86,3.93,6.79,1.0,0.2248,0.0274,0.1838,0.2733,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.2302,0.2371,0.1016,0.1049,0.0217,0.0226,0.5325,0.5424,0.1011,0.1049,0.0055,0.0245,ghi_factor,0.6474,pv_cost,0.5325,simplified,1379.5,275.9,Tianjin,天津,cold,351.12,0.9656,0.7,0.0,0.0,0.0,0.0,8,0.5282848143045114,0.6158787029715871,0.3960170926634341,0.5262854974384923,0.6506524905956533,0.5483364819765838
jinan,Jinan,济南,cold,OK,4806,mid_rise_dominant,mid_rise,0.986,0,4806,93.338,18.48,18.0,4.86,0.0415,805.1,745.8,3869469.0,1.887,1.827,0.257,0.65,0.999,534.8,2570460.0,514.09,1588.8,14.0,0.306,3363.0,0.2042,4.19,True,5679.0,745.2,10000.0,0.2,1311.7,91.8,1164.4,1308.9,1465.4,0.07,2.85,3.45,6.3,1.0,0.2272,0.0277,0.1858,0.2763,4096.0,0.5,0.6474,0.6499,0.2876,0.29,0.0622,0.0629,0.0,0.0,0.0,0.0,0.203,0.21,0.0897,0.093,0.0191,0.02,0.47,0.481,0.2029,0.2102,0.0055,0.0292,ghi_factor,0.6474,pv_cost,0.47,simplified,1362.3,272.5,Jinan,济南,cold,700.34,0.9794,0.7,0.0,0.0,0.0,0.0,9,0.508907838211818,0.5858376463507227,0.7186675113504382,0.5641564592864321,0.4426136422402647,0.5540062823874533
